,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Chicago Passing,,CHI,10,QB,100.00,68%,380.8,560.0,6.9,3840.4,22.92,13.00,91,372,4.00,
Justin Fields,1,CHI,10,QB,0.90,68%,342.7,504.0,6.9,3502.3,22.00,12.00,91,372,4.00,
Andy Dalton,2,CHI,10,QB,0.10,63%,35.3,56.0,6.8,380.8,2.29,1.30,7,14,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Chicago Rushing,,CHI,10,RB,100,433.32,4.1,4.3,1811.0,14.0,0.28,106.62,7.1,7.4,758,4.0
David Montgomery,1,CHI,10,RB,0.56,242.66,4.4,4.3,1041.9,8.0,0.60,63.97,8.0,7.4,473,2.0
Damien Williams,2,CHI,10,RB,0.13,56.33,4.1,4.0,225.0,2.0,0.25,26.66,7.0,6.4,171,1.0
Khalil Herbert,3,CHI,10,RB,0.05,21.67,4.2,4.1,88.7,0.0,0.05,5.33,6.8,6.2,33,0.0
Tarik Cohen,4,CHI,10,RB,0.06,14.56,4.3,4.2,61.1,0.0,0.10,10.66,8.2,7.6,81,1.0
Justin Fields,,CHI,10,QB,0.21,91.00,4.2,4.1,372.5,4.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Chicago REC WR,,CHI,10,WR,0.01,4.00,5.5,4.3,21.9,0.1,0.51,194.20,11.9,12.6,2315,12.0
Allen Robinson II,1,CHI,10,WR,0.00,0.00,5.6,5.5,0.0,0.0,0.49,95.16,12.0,11.7,1111,6.0
Darnell Mooney,2,CHI,10,WR,0.01,4.00,5.6,5.5,21.9,0.0,0.33,64.09,11.9,11.6,742,4.0
Damiere Byrd,3,CHI,10,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.14,27.19,13.6,13.3,361,2.0
Breshard Perriman,4,CHI,10,WR,0.00,0.00,6.3,6.2,0.0,0.0,0.04,7.77,13.2,12.9,100,0.0
Marquise Goodwin,5,CHI,10,WR,0.00,0.00,5.6,5.5,0.0,0.0,0.00,0.00,13.7,13.4,0,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Chicago REC TE,,CHI,10,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.21,79.97,9.6,10.8,767,7.0
Cole Kmet,1,CHI,10,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.57,45.58,10.9,10.3,469,4.0
Jimmy Graham,2,CHI,10,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.43,34.39,9.3,8.7,299,3.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Cincinatti Passing,,CIN,10,QB,100.00,68%,426.2,626.0,7.6,4753.3,31.17,11.00,60,198,3.00,
Joe Burrow,1,CIN,10,QB,0.97,68%,413.4,607.2,7.6,4644.7,31.00,10.00,60,198,3.00,
Brandon Allen,2,CIN,10,QB,0.03,60%,11.3,18.8,7.3,137.1,0.93,0.33,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Cincinatti Rushing,,CIN,10,RB,100,400.32,4.0,4.3,1615.6,14.0,0.18,76.71,6.8,7.4,523,3.0
Joe Mixon,1,CIN,10,RB,0.60,240.19,4.3,4.2,1007.2,9.0,0.70,53.70,7.6,7.0,376,3.0
Samaje Perine,2,CIN,10,RB,0.13,52.04,4.0,3.9,202.6,1.0,0.12,9.21,6.5,5.9,54,0.0
Chris Evans,3,CIN,10,RB,0.12,48.04,3.9,3.8,182.2,1.0,0.18,13.81,7.3,6.7,93,0.0
Trayveon Williams,4,CIN,10,RB,0.00,0.00,4.3,4.2,0.0,0.0,0.00,0.00,7.1,6.5,0,0.0
Joe Burrow,,CIN,10,QB,0.15,60.05,3.4,3.3,197.8,3.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Cincinatti REC WR,,CIN,10,WR,0.01,4.00,6.4,4.3,25.6,0.1,0.70,298.32,12.6,12.6,3764,25.0
Ja'Marr Chase,1,CIN,10,WR,0.00,0.00,7.2,7.1,0.0,0.0,0.32,95.46,14.4,14.1,1344,10.0
Tee Higgins,3,CIN,10,WR,0.00,0.00,9.2,9.1,0.0,0.0,0.31,92.48,13.4,13.1,1210,9.0
Tyler Boyd,2,CIN,10,WR,0.01,4.00,6.5,6.4,25.6,0.0,0.29,86.51,11.0,10.7,924,5.0
Auden Tate,4,CIN,10,WR,0.00,0.00,7.7,7.6,0.0,0.0,0.08,23.87,12.3,12.0,286,1.0
Mike Thomas,5,CIN,10,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.00,0.00,10.5,10.2,0,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPC,REC,TDs
Cincinatti REC TE,,CIN,10,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.12,51.14,9.1,10.8,467,3.0
Drew Sample,1,CIN,10,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.58,29.66,9.2,8.6,255,2.0
C.J. Uzomah,2,CIN,10,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.42,21.48,10.5,9.9,212,1.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Cleveland Passing,,CLE,13,QB,100.00,64%,347.8,543.5,7.0,3808.7,27.04,13.00,55,170,2.00,
Baker Mayfield,1,CLE,13,QB,0.97,64%,337.4,527.2,7.0,3689.9,27.00,12.00,55,170,2.00,
Case Keenum,2,CLE,13,QB,0.03,62%,10.1,16.3,7.1,115.8,0.81,0.39,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Cleveland Rushing,,CLE,13,RB,100,499.32,4.8,4.3,2405.2,20.0,0.20,69.56,7.4,7.4,514,5.0
